Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Jan 26 22:16:35 2018
Invocation: foremost capcapcap.pcap 
Output directory: /Users/miyatadaichi/ctf/cpawCTF2/network/IllegalPackets/output
Configuration file: /usr/local/etc/foremost.conf
------------------------------------------------------------------
File: capcapcap.pcap
Start: Fri Jan 26 22:16:35 2018
Length: Unknown
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 
127:	00012100.jpg 	       6 KB 	    6195350 	 
128:	00012116.jpg 	       4 KB 	    6203862 	 
129:	00012128.jpg 	       7 KB 	    6209867 	 
130:	00012146.jpg 	       6 KB 	    6219257 	 
131:	00012168.jpg 	       5 KB 	    6230469 	 
132:	00012183.jpg 	       5 KB 	    6237929 	 
133:	00012197.jpg 	       5 KB 	    6245044 	 
134:	00012210.jpg 	       4 KB 	    6251981 	 
135:	00012222.jpg 	       6 KB 	    6257886 	 
136:	00012239.jpg 	       5 KB 	    6266443 	 
137:	00012257.jpg 	       5 KB 	    6275959 	 
138:	00012283.jpg 	       7 KB 	    6289220 	 
139:	00012303.jpg 	       4 KB 	    6299286 	 
140:	00012420.jpg 	      17 KB 	    6359128 	 
141:	00012476.jpg 	      27 KB 	    6387983 	 
142:	00012655.jpg 	      48 KB 	    6479832 	 
143:	00012766.jpg 	      12 KB 	    6536547 	 
144:	00012791.jpg 	       6 KB 	    6549365 	 
145:	00012864.jpg 	       3 KB 	    6586876 	 
146:	00012874.jpg 	       2 KB 	    6591888 	 
147:	00012881.jpg 	       3 KB 	    6595270 	 
148:	00012900.jpg 	       5 KB 	    6605236 	 
149:	00012913.jpg 	       7 KB 	    6611706 	 
150:	00012960.jpg 	       2 KB 	    6635991 	 
151:	00013065.jpg 	       3 KB 	    6689616 	 
152:	00013073.jpg 	       3 KB 	    6693559 	 
153:	00014510.jpg 	       8 KB 	    7429377 	 
154:	00014766.jpg 	       7 KB 	    7560225 	 
155:	00015653.jpg 	      11 KB 	    8014821 	 
156:	00015678.jpg 	       8 KB 	    8027533 	 
157:	00016901.jpg 	       8 KB 	    8653580 	 
158:	00017330.jpg 	       6 KB 	    8873123 	 
159:	00000127.gif 	       42 B 	      65249 	  (1 x 1)
160:	00000148.gif 	       43 B 	      75842 	  (1 x 1)
161:	00000150.gif 	       42 B 	      77250 	  (1 x 1)
162:	00000152.gif 	       43 B 	      77917 	  (1 x 1)
163:	00000234.gif 	       43 B 	     120050 	  (2 x 2)
164:	00000376.gif 	       43 B 	     192719 	  (2 x 2)
165:	00000763.gif 	       43 B 	     391100 	  (2 x 2)
166:	00000863.gif 	     1017 B 	     441915 	  (21 x 22)
167:	00000866.gif 	      951 B 	     443432 	  (21 x 22)
168:	00000869.gif 	      585 B 	     444966 	  (41 x 22)
169:	00000871.gif 	       1 KB 	     446052 	  (21 x 22)
170:	00000874.gif 	      537 B 	     447581 	  (21 x 22)
171:	00000876.gif 	      532 B 	     448617 	  (21 x 22)
172:	00000879.gif 	       42 B 	     450162 	  (1 x 1)
173:	00000894.gif 	      818 B 	     457741 	  (77 x 14)
174:	00000896.gif 	      804 B 	     459058 	  (77 x 14)
175:	00000899.gif 	      21 KB 	     460365 	  (91 x 43)
176:	00001029.gif 	       42 B 	     527087 	  (1 x 1)
177:	00001032.gif 	       43 B 	     528863 	  (1 x 1)
178:	00001185.gif 	      17 KB 	     606836 	  (728 x 90)
179:	00001243.gif 	       46 B 	     636790 	  (4 x 4)
180:	00001336.gif 	      821 B 	     684440 	  (77 x 14)
181:	00001341.gif 	       43 B 	     686843 	  (2 x 2)
182:	00001346.gif 	       43 B 	     689474 	  (2 x 2)
183:	00001401.gif 	       43 B 	     717626 	  (2 x 2)
184:	00003214.gif 	       1 KB 	    1645949 	  (21 x 22)
185:	00003218.gif 	       4 KB 	    1647626 	  (50 x 50)
186:	00003232.gif 	       42 B 	    1655231 	  (1 x 1)
187:	00003255.gif 	       43 B 	    1666911 	  (1 x 1)
188:	00003274.gif 	      362 B 	    1676472 	  (15 x 14)
189:	00003438.gif 	       43 B 	    1760310 	  (2 x 2)
190:	00003451.gif 	       43 B 	    1767293 	  (2 x 2)
191:	00003459.gif 	       43 B 	    1771375 	  (2 x 2)
192:	00003464.gif 	       42 B 	    1773902 	  (1 x 1)
193:	00004295.gif 	       43 B 	    2199317 	  (2 x 2)
194:	00004352.gif 	       42 B 	    2228586 	  (1 x 1)
195:	00004449.gif 	       43 B 	    2277934 	  (1 x 1)
196:	00004454.gif 	      18 KB 	    2280489 	  (728 x 90)
197:	00004495.gif 	       43 B 	    2301895 	  (2 x 2)
198:	00004500.gif 	       43 B 	    2304498 	  (2 x 2)
199:	00004509.gif 	       43 B 	    2308850 	  (2 x 2)
200:	00004522.gif 	       42 B 	    2315670 	  (1 x 1)
201:	00008374.gif 	       42 B 	    4287918 	  (1 x 1)
202:	00008381.gif 	       43 B 	    4291515 	  (1 x 1)
203:	00008510.gif 	       43 B 	    4357197 	  (2 x 2)
204:	00008516.gif 	       43 B 	    4360680 	  (2 x 2)
205:	00008518.gif 	       43 B 	    4361564 	  (2 x 2)
206:	00008558.gif 	       42 B 	    4381762 	  (1 x 1)
207:	00008721.gif 	       43 B 	    4465271 	  (1 x 1)
208:	00009214.gif 	       42 B 	    4717581 	  (1 x 1)
209:	00009218.gif 	       43 B 	    4719982 	  (1 x 1)
210:	00009224.gif 	      513 B 	    4723036 	  (21 x 22)
211:	00009268.gif 	       43 B 	    4745626 	  (2 x 2)
212:	00009274.gif 	       43 B 	    4748307 	  (2 x 2)
213:	00009275.gif 	       43 B 	    4749261 	  (2 x 2)
214:	00009296.gif 	       42 B 	    4759943 	  (1 x 1)
215:	00010099.gif 	       43 B 	    5170812 	  (2 x 2)
216:	00010390.gif 	       42 B 	    5319831 	  (1 x 1)
217:	00010421.gif 	       43 B 	    5335581 	  (1 x 1)
218:	00010846.gif 	       93 B 	    5553427 	  (1 x 20)
219:	00010861.gif 	      50 KB 	    5561151 	  (300 x 250)
220:	00012631.gif 	       42 B 	    6467521 	  (1 x 1)
221:	00012634.gif 	       43 B 	    6468890 	  (1 x 1)
222:	00012724.gif 	       43 B 	    6515156 	  (1 x 1)
223:	00012956.gif 	       43 B 	    6633678 	  (1 x 1)
224:	00005168.htm 	      217 B 	    2646096 	 
225:	00005323.htm 	      217 B 	    2725469 	 
226:	00007926.htm 	       1 KB 	    4058373 	 
227:	00007931.htm 	       5 KB 	    4060859 	 
228:	00008103.htm 	       1 KB 	    4149019 	 
229:	00014442.htm 	       9 KB 	    7394770 	 
Finish: Fri Jan 26 22:16:35 2018

230 FILES EXTRACTED
	
jpg:= 159
gif:= 65
htm:= 6
------------------------------------------------------------------

Foremost finished at Fri Jan 26 22:16:35 2018
