"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"36","2017-09-03 18:41:05.901115","host","1.45.0","USB","36","","GET DESCRIPTOR Request STRING"
"37","2017-09-03 18:41:05.901513","1.45.0","host","USB","54","","GET DESCRIPTOR Response STRING"
"38","2017-09-03 18:41:05.901530","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"39","2017-09-03 18:41:05.903725","host","1.45.0","USBHID","36","","SET_IDLE Request"
"40","2017-09-03 18:41:05.903894","1.45.0","host","USB","28","","GET INTERFACE Status"
"41","2017-09-03 18:41:05.903948","host","1.45.0","USBHID","36","","GET DESCRIPTOR Request HID Report"
"42","2017-09-03 18:41:05.904651","1.45.0","host","USBHID","87","","GET DESCRIPTOR Response HID Report"
"43","2017-09-03 18:41:05.904679","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"44","2017-09-03 18:41:05.911427","host","1.45.0","USBHID","36","","SET_IDLE Request"
"45","2017-09-03 18:41:05.911676","host","1.45.0","USBHID","36","","GET DESCRIPTOR Request HID Report"
"46","2017-09-03 18:41:05.913208","1.45.0","host","USBHID","176","","GET DESCRIPTOR Response HID Report"
"47","2017-09-03 18:41:05.913249","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"48","2017-09-03 18:41:05.921168","host","1.45.0","USBHID","36","","SET_IDLE Request"
"49","2017-09-03 18:41:05.921482","host","1.45.0","USBHID","36","","GET DESCRIPTOR Request HID Report"
"50","2017-09-03 18:41:05.922500","1.45.0","host","USBHID","121","","GET DESCRIPTOR Response HID Report"
"51","2017-09-03 18:41:05.922524","1.45.0","host","USB","28","","GET DESCRIPTOR Status"
"52","2017-09-03 18:41:05.931908","host","1.45.0","USBHID","36","","SET_REPORT Request"
"53","2017-09-03 18:41:05.932142","1.45.0","host","USBHID","29","","SET_REPORT Response"
"54","2017-09-03 18:41:05.932143","1.45.0","host","USB","28","","SET CONFIGURATION Status"
"55","2017-09-03 18:41:06.002019","1.44.1","host","USB","28","02","URB_INTERRUPT in"
"56","2017-09-03 18:41:06.054005","1.44.1","host","USB","28","02","URB_INTERRUPT in"
"57","2017-09-03 18:41:06.111448","host","1.46.0","USB","36","","GET DESCRIPTOR Request DEVICE"
"58","2017-09-03 18:41:06.112607","1.46.0","host","USB","46","","GET DESCRIPTOR Response DEVICE"
"59","2017-09-03 18:41:06.112642","1.46.0","host","USB","28","","GET DESCRIPTOR Status"
"60","2017-09-03 18:41:06.112669","host","1.46.0","USB","36","","GET DESCRIPTOR Request CONFIGURATION"
"61","2017-09-03 18:41:06.113300","1.46.0","host","USB","37","","GET DESCRIPTOR Response CONFIGURATION"
"62","2017-09-03 18:41:06.113327","1.46.0","host","USB","28","","GET DESCRIPTOR Status"
"63","2017-09-03 18:41:06.113353","host","1.46.0","USB","36","","GET DESCRIPTOR Request CONFIGURATION"
"64","2017-09-03 18:41:06.115159","1.46.0","host","USB","62","","GET DESCRIPTOR Response CONFIGURATION"
"65","2017-09-03 18:41:06.115185","1.46.0","host","USB","28","","GET DESCRIPTOR Status"
"66","2017-09-03 18:41:06.115206","host","1.46.0","USB","36","","SET CONFIGURATION Request"
"67","2017-09-03 18:41:06.115676","1.46.0","host","USB","28","","SET CONFIGURATION Status"
"68","2017-09-03 18:41:06.115721","host","1.46.0","USBHID","36","","SET_IDLE Request"
"69","2017-09-03 18:41:06.115846","1.46.0","host","USB","28","","GET INTERFACE Status"
"70","2017-09-03 18:41:06.115895","host","1.46.0","USBHID","36","","GET DESCRIPTOR Request HID Report"
"71","2017-09-03 18:41:06.119207","1.46.0","host","USBHID","93","","GET DESCRIPTOR Response HID Report"
"72","2017-09-03 18:41:06.119238","1.46.0","host","USB","28","","GET DESCRIPTOR Status"
"73","2017-09-03 18:41:06.125036","host","1.46.0","USBHID","36","","SET_REPORT Request"
"74","2017-09-03 18:41:06.125121","host","1.45.0","USBHID","36","","SET_REPORT Request"
"75","2017-09-03 18:41:06.125266","1.45.0","host","USBHID","29","","SET_REPORT Response"
"76","2017-09-03 18:41:06.125281","1.45.0","host","USB","28","","SET CONFIGURATION Status"
"77","2017-09-03 18:41:06.125300","1.46.0","host","USBHID","29","","SET_REPORT Response"
"78","2017-09-03 18:41:06.125300","1.46.0","host","USB","28","","SET CONFIGURATION Status"
"79","2017-09-03 18:41:07.114136","1.46.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"80","2017-09-03 18:41:07.524136","1.45.2","host","USB","35","0200000060000000","URB_INTERRUPT in"
"81","2017-09-03 18:41:07.528122","1.45.2","host","USB","35","02000000e0000000","URB_INTERRUPT in"
"82","2017-09-03 18:41:07.536122","1.45.2","host","USB","35","020000fe9f000000","URB_INTERRUPT in"
"83","2017-09-03 18:41:07.544121","1.45.2","host","USB","35","020000ff9f000000","URB_INTERRUPT in"
"84","2017-09-03 18:41:07.552120","1.45.2","host","USB","35","020000ffbf000000","URB_INTERRUPT in"
"85","2017-09-03 18:41:07.560121","1.45.2","host","USB","35","020000ffdf000000","URB_INTERRUPT in"
"86","2017-09-03 18:41:07.568122","1.45.2","host","USB","35","020000ffef000000","URB_INTERRUPT in"
"87","2017-09-03 18:41:07.576120","1.45.2","host","USB","35","020000ffff000000","URB_INTERRUPT in"
"88","2017-09-03 18:41:07.584121","1.45.2","host","USB","35","020000fe0f010000","URB_INTERRUPT in"
"89","2017-09-03 18:41:07.590121","1.45.2","host","USB","35","020000fe0f010000","URB_INTERRUPT in"
"90","2017-09-03 18:41:07.598131","1.45.2","host","USB","35","020000ff0f010000","URB_INTERRUPT in"
"91","2017-09-03 18:41:07.606127","1.45.2","host","USB","35","020000ff1f010000","URB_INTERRUPT in"
"92","2017-09-03 18:41:07.614131","1.45.2","host","USB","35","020000fe2f010000","URB_INTERRUPT in"
"93","2017-09-03 18:41:07.622127","1.45.2","host","USB","35","020000fe1f010000","URB_INTERRUPT in"
"94","2017-09-03 18:41:07.630130","1.45.2","host","USB","35","020000ff2f010000","URB_INTERRUPT in"
"95","2017-09-03 18:41:07.638130","1.45.2","host","USB","35","020000fe2f010000","URB_INTERRUPT in"
"96","2017-09-03 18:41:07.646125","1.45.2","host","USB","35","020000ffff000000","URB_INTERRUPT in"
"97","2017-09-03 18:41:07.654130","1.45.2","host","USB","35","020000ff1f010000","URB_INTERRUPT in"
"98","2017-09-03 18:41:07.660130","1.45.2","host","USB","35","02000001e0000000","URB_INTERRUPT in"
"99","2017-09-03 18:41:07.668130","1.45.2","host","USB","35","0200000390000000","URB_INTERRUPT in"
"100","2017-09-03 18:41:07.676123","1.45.2","host","USB","35","0200000570000000","URB_INTERRUPT in"
"101","2017-09-03 18:41:07.684130","1.45.2","host","USB","35","0200000540000000","URB_INTERRUPT in"
"102","2017-09-03 18:41:07.692127","1.45.2","host","USB","35","0200000540000000","URB_INTERRUPT in"
"103","2017-09-03 18:41:07.700142","1.45.2","host","USB","35","0200000410000000","URB_INTERRUPT in"
"104","2017-09-03 18:41:07.708124","1.45.2","host","USB","35","0200000100000000","URB_INTERRUPT in"
"105","2017-09-03 18:41:07.942131","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"106","2017-09-03 18:41:07.958124","1.45.2","host","USB","35","020000ffffff0000","URB_INTERRUPT in"
"107","2017-09-03 18:41:07.966120","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"108","2017-09-03 18:41:07.974126","1.45.2","host","USB","35","020000fdffff0000","URB_INTERRUPT in"
"109","2017-09-03 18:41:07.982123","1.45.2","host","USB","35","020000faffff0000","URB_INTERRUPT in"
"110","2017-09-03 18:41:07.990123","1.45.2","host","USB","35","020000f80f000000","URB_INTERRUPT in"
"111","2017-09-03 18:41:07.998122","1.45.2","host","USB","35","020000f5ffff0000","URB_INTERRUPT in"
"112","2017-09-03 18:41:08.004127","1.45.2","host","USB","35","020000f50f000000","URB_INTERRUPT in"
"113","2017-09-03 18:41:08.012125","1.45.2","host","USB","35","020000f6ffff0000","URB_INTERRUPT in"
"114","2017-09-03 18:41:08.020127","1.45.2","host","USB","35","020000f70f000000","URB_INTERRUPT in"
"115","2017-09-03 18:41:08.028125","1.45.2","host","USB","35","020000f70f000000","URB_INTERRUPT in"
"116","2017-09-03 18:41:08.036128","1.45.2","host","USB","35","020000f6ffff0000","URB_INTERRUPT in"
"117","2017-09-03 18:41:08.044128","1.45.2","host","USB","35","020000f70f000000","URB_INTERRUPT in"
"118","2017-09-03 18:41:08.052124","1.45.2","host","USB","35","020000f70f000000","URB_INTERRUPT in"
"119","2017-09-03 18:41:08.060126","1.45.2","host","USB","35","020000f60f000000","URB_INTERRUPT in"
"120","2017-09-03 18:41:08.068128","1.45.2","host","USB","35","020000f70f000000","URB_INTERRUPT in"
"121","2017-09-03 18:41:08.074127","1.45.2","host","USB","35","020000f8ffff0000","URB_INTERRUPT in"
"122","2017-09-03 18:41:08.082128","1.45.2","host","USB","35","020000f90f000000","URB_INTERRUPT in"
"123","2017-09-03 18:41:08.090127","1.45.2","host","USB","35","020000fc0f000000","URB_INTERRUPT in"
"124","2017-09-03 18:41:08.098129","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"125","2017-09-03 18:41:08.106130","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"126","2017-09-03 18:41:08.114125","1.45.2","host","USB","35","020000fdffff0000","URB_INTERRUPT in"
"127","2017-09-03 18:41:08.122129","1.45.2","host","USB","35","020000feffff0000","URB_INTERRUPT in"
"128","2017-09-03 18:41:08.130128","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"129","2017-09-03 18:41:08.138138","1.45.2","host","USB","35","020000fcffff0000","URB_INTERRUPT in"
"130","2017-09-03 18:41:08.146125","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"131","2017-09-03 18:41:08.154125","1.45.2","host","USB","35","020000feffff0000","URB_INTERRUPT in"
"132","2017-09-03 18:41:08.160127","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"133","2017-09-03 18:41:08.168124","1.45.2","host","USB","35","020000fcffff0000","URB_INTERRUPT in"
"134","2017-09-03 18:41:08.176129","1.45.2","host","USB","35","020000fbffff0000","URB_INTERRUPT in"
"135","2017-09-03 18:41:08.186140","1.45.2","host","USB","35","020000fc0f000000","URB_INTERRUPT in"
"136","2017-09-03 18:41:08.192128","1.45.2","host","USB","35","020000fb0f000000","URB_INTERRUPT in"
"137","2017-09-03 18:41:08.200125","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"138","2017-09-03 18:41:08.208131","1.45.2","host","USB","35","020000fc0f000000","URB_INTERRUPT in"
"139","2017-09-03 18:41:08.216123","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"140","2017-09-03 18:41:08.224129","1.45.2","host","USB","35","020000feffff0000","URB_INTERRUPT in"
"141","2017-09-03 18:41:08.232128","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"142","2017-09-03 18:41:08.240129","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"143","2017-09-03 18:41:08.248124","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"144","2017-09-03 18:41:08.254152","1.45.2","host","USB","35","020000fc1f000000","URB_INTERRUPT in"
"145","2017-09-03 18:41:08.262126","1.45.2","host","USB","35","020000fa0f000000","URB_INTERRUPT in"
"146","2017-09-03 18:41:08.270152","1.45.2","host","USB","35","020000fb1f000000","URB_INTERRUPT in"
"147","2017-09-03 18:41:08.278126","1.45.2","host","USB","35","020000fb2f000000","URB_INTERRUPT in"
"148","2017-09-03 18:41:08.286159","1.45.2","host","USB","35","020000fc1f000000","URB_INTERRUPT in"
"149","2017-09-03 18:41:08.294126","1.45.2","host","USB","35","020000fe1f000000","URB_INTERRUPT in"
"150","2017-09-03 18:41:08.302125","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"151","2017-09-03 18:41:08.310125","1.45.2","host","USB","35","020000ff1f000000","URB_INTERRUPT in"
"152","2017-09-03 18:41:08.318125","1.45.2","host","USB","35","020000ff1f000000","URB_INTERRUPT in"
"153","2017-09-03 18:41:08.326127","1.45.2","host","USB","35","020000fe1f000000","URB_INTERRUPT in"
"154","2017-09-03 18:41:08.332126","1.45.2","host","USB","35","020000fd2f000000","URB_INTERRUPT in"
"155","2017-09-03 18:41:08.340125","1.45.2","host","USB","35","020000fb3f000000","URB_INTERRUPT in"
"156","2017-09-03 18:41:08.348127","1.45.2","host","USB","35","020000f93f000000","URB_INTERRUPT in"
"157","2017-09-03 18:41:08.356127","1.45.2","host","USB","35","020000fb2f000000","URB_INTERRUPT in"
"158","2017-09-03 18:41:08.364153","1.45.2","host","USB","35","020000fc2f000000","URB_INTERRUPT in"
"159","2017-09-03 18:41:08.372129","1.45.2","host","USB","35","020000fc2f000000","URB_INTERRUPT in"
"160","2017-09-03 18:41:08.380121","1.45.2","host","USB","35","020000fe1f000000","URB_INTERRUPT in"
"161","2017-09-03 18:41:08.388126","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"162","2017-09-03 18:41:08.434133","1.45.2","host","USB","35","0200000010000000","URB_INTERRUPT in"
"163","2017-09-03 18:41:08.442124","1.45.2","host","USB","35","0200000010000000","URB_INTERRUPT in"
"164","2017-09-03 18:41:08.458132","1.45.2","host","USB","35","0200000010000000","URB_INTERRUPT in"
"165","2017-09-03 18:41:08.942131","1.45.2","host","USB","35","0201000000000000","URB_INTERRUPT in"
"166","2017-09-03 18:41:09.082131","1.45.2","host","USB","35","0200000000000000","URB_INTERRUPT in"
"167","2017-09-03 18:41:09.326133","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"168","2017-09-03 18:41:09.334122","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"169","2017-09-03 18:41:09.340120","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"170","2017-09-03 18:41:09.348122","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"171","2017-09-03 18:41:09.356127","1.45.2","host","USB","35","02000000e0ff0000","URB_INTERRUPT in"
"172","2017-09-03 18:41:09.364130","1.45.2","host","USB","35","02000000e0ff0000","URB_INTERRUPT in"
"173","2017-09-03 18:41:09.372124","1.45.2","host","USB","35","02000000e0ff0000","URB_INTERRUPT in"
"174","2017-09-03 18:41:09.380123","1.45.2","host","USB","35","02000000e0ff0000","URB_INTERRUPT in"
"175","2017-09-03 18:41:09.388126","1.45.2","host","USB","35","02000001e0ff0000","URB_INTERRUPT in"
"176","2017-09-03 18:41:09.396126","1.45.2","host","USB","35","02000000e0ff0000","URB_INTERRUPT in"
"177","2017-09-03 18:41:09.404128","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"178","2017-09-03 18:41:09.410121","1.45.2","host","USB","35","02000000e0ff0000","URB_INTERRUPT in"
"179","2017-09-03 18:41:09.418127","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"180","2017-09-03 18:41:09.426126","1.45.2","host","USB","35","02000000e0ff0000","URB_INTERRUPT in"
"181","2017-09-03 18:41:09.442127","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"182","2017-09-03 18:41:09.450127","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"183","2017-09-03 18:41:09.458121","1.45.2","host","USB","35","0200000100000000","URB_INTERRUPT in"
"184","2017-09-03 18:41:09.466123","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"185","2017-09-03 18:41:09.474128","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"186","2017-09-03 18:41:09.482126","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"187","2017-09-03 18:41:09.496122","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"188","2017-09-03 18:41:09.504130","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"189","2017-09-03 18:41:09.574137","1.45.2","host","USB","35","0200000100000000","URB_INTERRUPT in"
"190","2017-09-03 18:41:09.582131","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"191","2017-09-03 18:41:09.810132","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"192","2017-09-03 18:41:09.818125","1.45.2","host","USB","35","020000fdffff0000","URB_INTERRUPT in"
"193","2017-09-03 18:41:09.826124","1.45.2","host","USB","35","020000fd9fff0000","URB_INTERRUPT in"
"194","2017-09-03 18:41:09.832129","1.45.2","host","USB","35","020000fb4fff0000","URB_INTERRUPT in"
"195","2017-09-03 18:41:09.840125","1.45.2","host","USB","35","020000ffbffe0000","URB_INTERRUPT in"
"196","2017-09-03 18:41:09.848124","1.45.2","host","USB","35","020000ff2ffe0000","URB_INTERRUPT in"
"197","2017-09-03 18:41:09.856128","1.45.2","host","USB","35","020000ff6ffd0000","URB_INTERRUPT in"
"198","2017-09-03 18:41:09.864129","1.45.2","host","USB","35","02000000f0fc0000","URB_INTERRUPT in"
"199","2017-09-03 18:41:09.872129","1.45.2","host","USB","35","02000000c0fc0000","URB_INTERRUPT in"
"200","2017-09-03 18:41:09.880130","1.45.2","host","USB","35","02000000e0fc0000","URB_INTERRUPT in"
"201","2017-09-03 18:41:09.888131","1.45.2","host","USB","35","0200000060fd0000","URB_INTERRUPT in"
"202","2017-09-03 18:41:09.896124","1.45.2","host","USB","35","02000003a0fd0000","URB_INTERRUPT in"
"203","2017-09-03 18:41:09.904131","1.45.2","host","USB","35","0200000430fe0000","URB_INTERRUPT in"
"204","2017-09-03 18:41:09.912130","1.45.2","host","USB","35","0200000570fe0000","URB_INTERRUPT in"
"205","2017-09-03 18:41:09.918129","1.45.2","host","USB","35","02000004f0fe0000","URB_INTERRUPT in"
"206","2017-09-03 18:41:09.926126","1.45.2","host","USB","35","0200000430ff0000","URB_INTERRUPT in"
"207","2017-09-03 18:41:09.934128","1.45.2","host","USB","35","0200000470ff0000","URB_INTERRUPT in"
"208","2017-09-03 18:41:09.942123","1.45.2","host","USB","35","02000004c0ff0000","URB_INTERRUPT in"
"209","2017-09-03 18:41:09.950129","1.45.2","host","USB","35","02000003f0ff0000","URB_INTERRUPT in"
"210","2017-09-03 18:41:09.958128","1.45.2","host","USB","35","02000001f0ff0000","URB_INTERRUPT in"
"211","2017-09-03 18:41:09.966124","1.45.2","host","USB","35","0200000100000000","URB_INTERRUPT in"
"212","2017-09-03 18:41:10.098127","1.45.2","host","USB","35","020000f78fff0000","URB_INTERRUPT in"
"213","2017-09-03 18:41:10.106122","1.45.2","host","USB","35","020000f79fff0000","URB_INTERRUPT in"
"214","2017-09-03 18:41:10.114125","1.45.2","host","USB","35","020000f7cfff0000","URB_INTERRUPT in"
"215","2017-09-03 18:41:10.122122","1.45.2","host","USB","35","020000f7dfff0000","URB_INTERRUPT in"
"216","2017-09-03 18:41:10.130122","1.45.2","host","USB","35","020000f90f000000","URB_INTERRUPT in"
"217","2017-09-03 18:41:10.138127","1.45.2","host","USB","35","020000fb0f000000","URB_INTERRUPT in"
"218","2017-09-03 18:41:10.146122","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"219","2017-09-03 18:41:10.208132","1.45.2","host","USB","35","020000ff2f000000","URB_INTERRUPT in"
"220","2017-09-03 18:41:10.216128","1.45.2","host","USB","35","0200000010000000","URB_INTERRUPT in"
"221","2017-09-03 18:41:10.224124","1.45.2","host","USB","35","0200000020000000","URB_INTERRUPT in"
"222","2017-09-03 18:41:10.240128","1.45.2","host","USB","35","0200000010000000","URB_INTERRUPT in"
"223","2017-09-03 18:41:10.294130","1.45.2","host","USB","35","0200000010000000","URB_INTERRUPT in"
"224","2017-09-03 18:41:10.450132","1.45.2","host","USB","35","02000000f0ff0000","URB_INTERRUPT in"
"225","2017-09-03 18:41:10.904136","1.45.2","host","USB","35","020000fddfff0000","URB_INTERRUPT in"
"226","2017-09-03 18:41:10.912130","1.45.2","host","USB","35","020000f8afff0000","URB_INTERRUPT in"
"227","2017-09-03 18:41:10.918128","1.45.2","host","USB","35","020000f5afff0000","URB_INTERRUPT in"
"228","2017-09-03 18:41:10.926125","1.45.2","host","USB","35","020000f1cfff0000","URB_INTERRUPT in"
"229","2017-09-03 18:41:10.934127","1.45.2","host","USB","35","020000eaafff0000","URB_INTERRUPT in"
"230","2017-09-03 18:41:10.942122","1.45.2","host","USB","35","020000e9afff0000","URB_INTERRUPT in"
"231","2017-09-03 18:41:10.950127","1.45.2","host","USB","35","020000ed7fff0000","URB_INTERRUPT in"
"232","2017-09-03 18:41:10.958127","1.45.2","host","USB","35","020000f44fff0000","URB_INTERRUPT in"
"233","2017-09-03 18:41:10.966124","1.45.2","host","USB","35","020000f8effe0000","URB_INTERRUPT in"
"234","2017-09-03 18:41:10.974136","1.45.2","host","USB","35","020000fc2fff0000","URB_INTERRUPT in"
"235","2017-09-03 18:41:10.982125","1.45.2","host","USB","35","020000fd7fff0000","URB_INTERRUPT in"
"236","2017-09-03 18:41:10.988131","1.45.2","host","USB","35","020000ffbfff0000","URB_INTERRUPT in"
"237","2017-09-03 18:41:11.146133","1.45.2","host","USB","35","020000fe1f000000","URB_INTERRUPT in"
"238","2017-09-03 18:41:11.154128","1.45.2","host","USB","35","020000f82f000000","URB_INTERRUPT in"
"239","2017-09-03 18:41:11.162122","1.45.2","host","USB","35","020000f51f000000","URB_INTERRUPT in"
"240","2017-09-03 18:41:11.168123","1.45.2","host","USB","35","020000f30f000000","URB_INTERRUPT in"
"241","2017-09-03 18:41:11.176123","1.45.2","host","USB","35","020000f30f000000","URB_INTERRUPT in"
"242","2017-09-03 18:41:11.184132","1.45.2","host","USB","35","020000f7ffff0000","URB_INTERRUPT in"
"243","2017-09-03 18:41:11.192121","1.45.2","host","USB","35","020000f8ffff0000","URB_INTERRUPT in"
"244","2017-09-03 18:41:11.200120","1.45.2","host","USB","35","020000f90f000000","URB_INTERRUPT in"
"245","2017-09-03 18:41:11.208124","1.45.2","host","USB","35","020000f90f000000","URB_INTERRUPT in"
"246","2017-09-03 18:41:11.216126","1.45.2","host","USB","35","020000f80f000000","URB_INTERRUPT in"
"247","2017-09-03 18:41:11.224124","1.45.2","host","USB","35","020000f80f000000","URB_INTERRUPT in"
"248","2017-09-03 18:41:11.232121","1.45.2","host","USB","35","020000f9ffff0000","URB_INTERRUPT in"
"249","2017-09-03 18:41:11.238135","1.45.2","host","USB","35","020000fa0f000000","URB_INTERRUPT in"
"250","2017-09-03 18:41:11.246123","1.45.2","host","USB","35","020000fc0f000000","URB_INTERRUPT in"
"251","2017-09-03 18:41:11.254128","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"252","2017-09-03 18:41:11.262124","1.45.2","host","USB","35","020000fc1f000000","URB_INTERRUPT in"
"253","2017-09-03 18:41:11.270124","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
"254","2017-09-03 18:41:11.278122","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"255","2017-09-03 18:41:11.286121","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"256","2017-09-03 18:41:11.294129","1.45.2","host","USB","35","020000fc0f000000","URB_INTERRUPT in"
"257","2017-09-03 18:41:11.302125","1.45.2","host","USB","35","020000fd0f000000","URB_INTERRUPT in"
"258","2017-09-03 18:41:11.310129","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"259","2017-09-03 18:41:11.318121","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"260","2017-09-03 18:41:11.326129","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"261","2017-09-03 18:41:11.340123","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"262","2017-09-03 18:41:11.348128","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"263","2017-09-03 18:41:11.356122","1.45.2","host","USB","35","020000ff0f000000","URB_INTERRUPT in"
"264","2017-09-03 18:41:11.364129","1.45.2","host","USB","35","020000fe0f000000","URB_INTERRUPT in"
